iter	RMSE
0	14.15520681
1	13.28986419
2	12.42072806
3	11.65774124
4	11.02511559
5	10.49017197
6	9.942873772
7	9.501384335
8	9.058848429
9	8.65040922
10	8.293407656
11	7.98462908
12	7.709650882
13	7.433667521
14	7.188714403
15	7.002898233
16	6.81874753
17	6.647001914
18	6.51069067
19	6.367868922
20	6.238149604
21	6.132814538
22	6.053245748
23	5.96277118
24	5.88247819
25	5.799379451
26	5.729604247
27	5.671758515
28	5.621606071
29	5.570050116
30	5.529887143
31	5.489677996
32	5.4353921
33	5.406768338
34	5.380216583
35	5.359083083
36	5.322627708
37	5.290840163
38	5.268058801
39	5.246909434
40	5.223099153
41	5.201169932
42	5.182384703
43	5.161573394
44	5.142645869
45	5.114272181
46	5.097448586
47	5.080133048
48	5.069710298
49	5.058436298
50	5.043489077
51	5.033529795
52	5.017151637
53	5.003644616
54	4.984607148
55	4.971901717
56	4.958113988
57	4.950125688
58	4.942011729
59	4.93343601
60	4.91837115
61	4.905825218
62	4.891561361
63	4.887998432
64	4.878321281
65	4.869769768
66	4.866869526
67	4.849535117
68	4.839619713
69	4.828677719
70	4.818677371
71	4.809987579
72	4.799068076
73	4.791953708
74	4.779053722
75	4.774349712
76	4.766619259
77	4.752053365
78	4.739574456
79	4.728945333
80	4.723405893
81	4.722280117
82	4.71795683
83	4.714614882
84	4.69735031
85	4.684342244
86	4.660741678
87	4.657952234
88	4.645180465
89	4.63583999
90	4.632980229
91	4.629732496
92	4.623680277
93	4.610944784
94	4.60783516
95	4.596631704
96	4.585747138
97	4.582878171
98	4.566960588
99	4.558306516
