iter	Passed	Remaining
0	1	165
1	2	138
2	4	130
3	5	123
4	6	124
5	8	130
6	9	132
7	12	142
8	13	136
9	14	134
10	16	130
11	17	127
12	18	123
13	19	121
14	21	119
15	22	117
16	23	115
17	25	114
18	25	110
19	27	108
20	28	106
21	29	105
22	31	104
23	32	101
24	33	100
25	34	98
26	35	96
27	37	95
28	38	94
29	39	92
30	40	89
31	41	87
32	42	85
33	43	83
34	44	81
35	44	79
36	46	78
37	46	76
38	47	74
39	48	72
40	49	71
41	50	69
42	51	67
43	51	66
44	52	64
45	53	62
46	54	61
47	55	60
48	56	58
49	57	57
50	58	56
51	59	54
52	60	53
53	61	52
54	62	50
55	62	49
56	63	48
57	64	46
58	65	45
59	66	44
60	67	42
61	68	41
62	68	40
63	69	39
64	70	38
65	71	36
66	72	35
67	73	34
68	74	33
69	74	32
70	75	30
71	76	29
72	77	28
73	78	27
74	78	26
75	79	25
76	80	24
77	81	22
78	82	21
79	83	20
80	83	19
81	84	18
82	84	17
83	85	16
84	86	15
85	87	14
86	88	13
87	89	12
88	89	11
89	90	10
90	91	9
91	92	8
92	93	7
93	94	6
94	94	4
95	95	3
96	96	2
97	97	1
98	97	0
99	98	0
